province,country,lat,long,date,confirmed,deaths,recovered
,Afghanistan,33,65,4/25/2020,1463,47,188
,Albania,41.1533,20.1683,4/25/2020,712,27,403
,Algeria,28.0339,1.6596,4/25/2020,3256,419,1479
,Andorra,42.5063,1.5218,4/25/2020,738,40,344
,Angola,-11.2027,17.8739,4/25/2020,25,2,6
,Antigua and Barbuda,17.0608,-61.7964,4/25/2020,24,3,11
,Argentina,-38.4161,-63.6167,4/25/2020,3780,185,1030
,Armenia,40.0691,45.0382,4/25/2020,1677,28,803
Australian Capital Territory,Australia,-35.4735,149.0124,4/25/2020,106,3,98
New South Wales,Australia,-33.8688,151.2093,4/25/2020,2994,33,2193
Northern Territory,Australia,-12.4634,130.8456,4/25/2020,28,0,23
Queensland,Australia,-28.0167,153.4,4/25/2020,1026,6,803
South Australia,Australia,-34.9285,138.6007,4/25/2020,438,4,402
Tasmania,Australia,-41.4545,145.9707,4/25/2020,207,10,117
Victoria,Australia,-37.8136,144.9631,4/25/2020,1346,16,1262
Western Australia,Australia,-31.9505,115.8605,4/25/2020,549,8,478
,Austria,47.5162,14.5501,4/25/2020,15148,536,12103
,Azerbaijan,40.1431,47.5769,4/25/2020,1617,21,1080
,Bahamas,25.0343,-77.3963,4/25/2020,78,11,15
,Bahrain,26.0275,50.55,4/25/2020,2588,8,1160
,Bangladesh,23.685,90.3563,4/25/2020,4998,140,113
,Barbados,13.1939,-59.5432,4/25/2020,79,6,31
,Belarus,53.7098,27.9534,4/25/2020,9590,67,1573
,Belgium,50.8333,4,4/25/2020,45325,6917,10417
,Benin,9.3077,2.3158,4/25/2020,54,1,27
,Bhutan,27.5142,90.4336,4/25/2020,7,0,3
,Bolivia,-16.2902,-63.5887,4/25/2020,866,46,54
,Bosnia and Herzegovina,43.9159,17.6791,4/25/2020,1486,57,592
,Brazil,-14.235,-51.9253,4/25/2020,59324,4057,29160
,Brunei,4.5353,114.7277,4/25/2020,138,1,121
,Bulgaria,42.7339,25.4858,4/25/2020,1247,55,197
,Burkina Faso,12.2383,-1.5616,4/25/2020,629,41,442
,Cabo Verde,16.5388,-23.0418,4/25/2020,90,1,1
,Cambodia,11.55,104.9167,4/25/2020,122,0,117
,Cameroon,3.848,11.5021,4/25/2020,1518,53,0
Alberta,Canada,53.9333,-116.5765,4/25/2020,4233,73,0
British Columbia,Canada,49.2827,-123.1207,4/25/2020,1948,100,0
Grand Princess,Canada,37.6489,-122.6655,4/25/2020,13,0,0
Manitoba,Canada,53.7609,-98.8139,4/25/2020,267,6,0
New Brunswick,Canada,46.5653,-66.4619,4/25/2020,118,0,0
Newfoundland and Labrador,Canada,53.1355,-57.6604,4/25/2020,257,3,0
Nova Scotia,Canada,44.682,-63.7443,4/25/2020,865,22,0
Ontario,Canada,51.2538,-85.3232,4/25/2020,15012,916,0
Prince Edward Island,Canada,46.5107,-63.4168,4/25/2020,26,0,0
Quebec,Canada,52.9399,-73.5491,4/25/2020,23267,1446,0
Saskatchewan,Canada,52.9399,-106.4509,4/25/2020,349,4,0
,Central African Republic,6.6111,20.9394,4/25/2020,16,0,10
,Chad,15.4542,18.7322,4/25/2020,46,0,15
,Chile,-35.6751,-71.543,4/25/2020,12858,181,6746
Anhui,China,31.8257,117.2264,4/25/2020,991,6,985
Beijing,China,40.1824,116.4142,4/25/2020,593,8,525
Chongqing,China,30.0572,107.874,4/25/2020,579,6,573
Fujian,China,26.0789,117.9874,4/25/2020,355,1,349
Gansu,China,37.8099,101.0583,4/25/2020,139,2,137
Guangdong,China,23.3417,113.4244,4/25/2020,1586,8,1542
Guangxi,China,23.8298,108.7881,4/25/2020,254,2,252
Guizhou,China,26.8154,106.8748,4/25/2020,147,2,145
Hainan,China,19.1959,109.7453,4/25/2020,168,6,162
Hebei,China,39.549,116.1306,4/25/2020,328,6,318
Heilongjiang,China,47.862,127.7615,4/25/2020,935,13,0
Henan,China,33.882,113.614,4/25/2020,1276,22,0
Hong Kong,China,22.3,114.2,4/25/2020,1037,4,753
Hubei,China,30.9756,112.2707,4/25/2020,68128,4512,63604
Hunan,China,27.6104,111.7088,4/25/2020,1019,4,1015
Inner Mongolia,China,44.0935,113.9448,4/25/2020,198,1,121
Jiangsu,China,32.9711,119.455,4/25/2020,653,0,646
Jiangxi,China,27.614,115.7221,4/25/2020,937,1,936
Jilin,China,43.6661,126.1923,4/25/2020,109,1,99
Liaoning,China,41.2956,122.6085,4/25/2020,146,2,143
Macau,China,22.1667,113.55,4/25/2020,45,0,28
Ningxia,China,37.2692,106.1655,4/25/2020,75,0,75
Qinghai,China,35.7452,95.9956,4/25/2020,18,0,18
Shaanxi,China,35.1917,108.8701,4/25/2020,286,3,253
Shandong,China,36.3427,118.1498,4/25/2020,787,7,767
Shanghai,China,31.202,121.4491,4/25/2020,642,7,0
Shanxi,China,37.5777,112.2922,4/25/2020,197,0,154
Sichuan,China,30.6171,102.7103,4/25/2020,561,3,558
Tianjin,China,39.3054,117.323,4/25/2020,190,3,182
Tibet,China,31.6927,88.0924,4/25/2020,1,0,1
Xinjiang,China,41.1129,85.2401,4/25/2020,76,3,73
Yunnan,China,24.974,101.487,4/25/2020,185,2,0
Zhejiang,China,29.1832,120.0934,4/25/2020,1268,1,1257
,Colombia,4.5709,-74.2973,4/25/2020,5142,233,1067
,Congo (Brazzaville),-4.0383,21.7587,4/25/2020,200,6,19
,Congo (Kinshasa),-4.0383,21.7587,4/25/2020,416,28,49
,Costa Rica,9.7489,-83.7534,4/25/2020,693,6,242
